日付,カロリー消費,歩数,距離,階数,静止状態の時間（分）,ややアクティブな時間（分）,かなりアクティブな時間（分）,とてもアクティブな時間（分）,運動消費カロリー
"2015.12.28","2,019","6,396","5.33","10","1,375","26","2","37","500"
"2015.12.29","2,412","8,329","6.78","12","653","142","0","38","905"
"2015.12.30","2,338","7,472","5.28","5","738","238","0","0","897"
"2015.12.31","2,385","9,153","7.36","14","583","146","3","34","900"
"2016.01.01","2,286","5,064","3.58","10","849","222","0","0","781"
"2016.01.02","2,391","9,024","7.3","12","748","146","3","37","917"
"2016.01.03","2,442","8,558","6.04","24","662","276","0","0","1,030"
"2016.01.04","2,464","9,023","6.44","19","813","187","8","15","950"
"2016.01.05","2,773","14,798","10.49","23","723","269","24","36","1,419"
"2016.01.06","2,432","9,605","6.87","22","762","226","5","5","976"
"2016.01.07","2,496","11,147","7.91","19","811","227","10","26","1,076"
"2016.01.08","2,447","9,457","6.73","12","800","234","6","10","996"
"2016.01.09","2,732","16,141","11.46","53","669","250","27","20","1,369"
"2016.01.10","3,364","22,594","17.78","58","642","275","20","74","2,070"
"2016.01.11","1,429","2,379","1.68","1","417","102","0","0","346"
