日付,睡眠時間（分）,目覚めていた時間（分）,目覚めた回数,就寝時間
"2015.12.28","0","0","0","0"
"2015.12.29","480","29","18","509"
"2015.12.30","352","40","20","392"
"2015.12.31","496","22","17","519"
"2016.01.01","326","43","21","369"
"2016.01.02","487","18","14","506"
"2016.01.03","454","48","27","502"
"2016.01.04","387","30","20","417"
"2016.01.05","365","23","10","388"
"2016.01.06","354","20","12","374"
"2016.01.07","310","56","21","366"
"2016.01.08","354","36","24","390"
"2016.01.09","440","34","23","474"
"2016.01.10","393","36","22","429"
"2016.01.11","499","31","24","530"
