name;area_genre;rating;dinner_rating;lunch_rating;dinner_budget;lunch_budget;table;pr
焼肉酒家 李苑;（東新宿 / 焼肉、居酒屋、韓国料理）;3.15;3.06;3.09;￥4,000～￥4,999; ～￥999;32席／個室あり(2人可、4人可、6人可)／全面喫煙可;《完全個室あり》A5ランクの宮崎牛と北海道の北十勝ファームから直接仕入れている熟成肉をご提供しております！お一人様3000円〜のご予算でお楽しみいただけます！《新...
華火;（東新宿 / 寿司、懐石・会席料理、魚介料理・海鮮料理）;-;-;-;￥8,000～￥9,999;-;20席／個室あり(8人可、10～20人可)／全面喫煙可;新宿駅5分！【期間限定】線香”華火”トライアルを実施中！大人のお寿司デートをもっと気楽に楽しめるように、ソファ席を設けたり、接待や会食にもご好評いただいている本格...
新宿 柳苑;（新宿 / 焼肉、ホルモン）;3.18;3.18;-;￥5,000～￥5,999;-;53席／個室あり(2人可、4人可、6人可、8人可、10～20人可)／全面喫煙可;創業15年【極上の炭火焼肉】銘柄にこだわらない"こだわり"･･･A5･A4ランクの極上黒毛和牛を多数ご用意！みすじ/クリ/ザブトンなど稀少部位も◎掘り炬燵やテーブ...
しゃぶ与志;（新宿三丁目 / しゃぶしゃぶ、かに、ステーキ）;3.01;3.01;-;￥8,000～￥9,999;-;37席／個室なし／全面喫煙可;年末年始も休まず営業しております！しゃぶしゃぶ２８５０円、すき焼３０５０円、サーロインステーキ３０５０円より
焼肉いたみ 新宿店;（東新宿 / 焼肉、ホルモン、冷麺）;3.09;3.09;-;￥4,000～￥4,999;-;35席／個室なし／全面喫煙可;10年来の付き合いの信頼ある業者から仕入れたA5黒毛和牛だけをご提供。単品なら3ヶ月熟成させた「タン」や厚さ1.5cm以上の「上ハラミ」を。宴会ならA5和牛尽くし...
やさい農家;（新大久保 / 韓国料理、焼肉、居酒屋）;3.04;3.03;3.01;￥2,000～￥2,999;￥1,000～￥1,999;70席／個室なし／全面喫煙可;カントンの思い出プロデュース・元祖サンパ専門店「やさい農家」 4月30日イケメン通り沿いに堂々オープン！
鶏肉研究所;（新大久保 / 鳥料理、韓国料理、居酒屋）;3.19;3.14;3.06;￥1,000～￥1,999; ～￥999;76席／個室なし／全面喫煙可;カントンの思い出のチキン専門店が新大久保にオープン！ 国産鹿児島のハーブ鶏を使用したジューシー＆ヘルシーなチキン専門店！ その日の新鮮素材を使っておりますので鶏肉...
ささ木;（西武新宿 / 焼鳥、おでん、居酒屋）;-;-;-;￥2,000～￥2,999;-;22席／個室なし／全面喫煙可;
串カツ田中 東新宿店;（東新宿 / 居酒屋、串揚げ・串かつ、うどんすき）;3.04;3.04;-;￥2,000～￥2,999;-;45席／個室なし／全面喫煙可;【ＮＥＷ ＯＰＥＮ】ソースの二度付け禁止・大阪名物伝統の味！3種のコーススタート♪たこ焼き食べ放題or鍋から選べて２ｈ飲み放題付き2480円～3480円★
ブエナ;（東新宿 / バル・バール、ビアホール・ビアレストラン、バー）;3.01;3.01;-;￥2,000～￥2,999;-;25席／個室あり(6人可、8人可)／全面喫煙可;◆２０１５年 秋・ 星空ビアテラスオープン◆ ～秘密の一軒家ＢＡＲ～ カジュアルビストロ 【◆窯焼き・スモーク・ピッツァ ＆ セレクトワイン × 大人の遊び場◆】
トンタイ2;（東新宿 / タイ料理、タイカレー、しゃぶしゃぶ）;3.34;3.33;3.05;￥2,000～￥2,999; ～￥999;82席／個室なし／全面喫煙可;一度足を踏み入れると、そこはアジアンテイスト×クラブ仕様♪地下1Fの貸切は8名様～最大50名様まで収容可能！料理は現地の食材をふんだんに使用♪体の温まるスパイシー...
Saikabo;（東新宿 / 韓国料理、韓国鍋、自然食）;3.00;3.01;-;￥5,000～￥5,999;￥1,000～￥1,999;60席／個室あり(2人可、4人可、6人可、8人可、10～20人可、20～30人可)／分煙;薬食同源という考え方を大切にしています。
Pizzeria LUMEN;（東新宿 / ピザ、イタリアン、パスタ）;3.54;3.54;3.01;￥5,000～￥5,999;-;19席／個室なし／全面喫煙可;天然酵母を使用した生地の、ルメンでしか味わえない特別なナポリピッツァをお楽しみいただけます。
矢島ロック 新宿店;（西武新宿 / 居酒屋、魚介料理・海鮮料理、鍋（その他））;-;-;-;-;-;28席／個室あり(10～20人可)／全面喫煙可;和、洋、中の種類豊富な様々なメニューを取り揃えております。歌舞伎町とは、思えない居心地のいい空間とカラオケ付個室で心ゆくまで楽しんで下さい。
ロック居酒屋 ハリケーン;（西武新宿 / 居酒屋、魚介料理・海鮮料理、日本酒）;-;-;-;￥4,000～￥4,999;-;17席／個室なし／全面喫煙可;♠♡♣◊COOKIN’ROLL♤♥♧♦東北出身のバンドマンが心を込めてお創りする新感覚和食ロック居酒屋！！！産地直送の新鮮な魚をメインに、明るく・楽しく・（激しく...
いけす無門 新宿;（西武新宿 / 居酒屋、魚介料理・海鮮料理、豚しゃぶ）;3.00;-;3.00;￥6,000～￥7,999;￥1,000～￥1,999;130席／個室あり(2人可、4人可、6人可、8人可、10～20人可、20～30人可、30人以上可)／分煙;【7月1日リニューアルOPEN!】店内巨大生け簀に圧巻！獲れたて捌きたて絶品活魚! 刺身でも寿司でもOK。
風の蔵;（東新宿 / ダイニングバー、イタリアン、スペイン料理）;3.02;3.02;-;￥4,000～￥4,999;-;45席／個室あり(2人可、8人可、10～20人可)／分煙;忘年会団体様！貸切個室8～15名様、1階フロア貸切20〜30名様、一棟まるごと50名様までご相談ください。東新宿宴会パーティーは裏道に佇むお洒落な大人の隠れ家空間...
韓国家庭料理 鐘路本家;（西武新宿 / 韓国料理、焼肉、居酒屋）;3.15;3.12;3.06;￥3,000～￥3,999;￥1,000～￥1,999;100席／個室あり(30人以上可)／全面喫煙可;新大久保での豚肉食べ放題なら、18年の元祖「鐘路本家」（ジョンノボンガ）
すごい煮干ラーメン凪 新宿ゴールデン街店別館;（西武新宿 / ラーメン、つけ麺）;3.66;3.57;3.65; ～￥999; ～￥999;18席／個室なし／完全禁煙;ゴールデン街の『煮干ラーメン』専門店
廿;（東新宿 / 居酒屋、ダイニングバー、日本酒）;-;-;-;￥3,000～￥3,999;-;19席／個室なし／全面喫煙可;【メジャーシーンで一世を風靡したアーティストが手掛ける創作居酒屋】手作りのお食事を、落ち着いた空間で。
ちゃっちゃか 新宿ゴールデン街店;（新宿三丁目 / ラーメン）;3.00;3.00;-; ～￥999;-;7席／個室なし／全面喫煙可;新宿ゴールデン街の『魚介味噌、激辛魚介味噌ラーメン』専門店 朝まで営業推進中！！詳しくは食べログの今月のお知らせをご確認ください。
百済;（新宿三丁目 / 焼肉、韓国料理、居酒屋）;3.27;3.20;3.09;￥5,000～￥5,999; ～￥999;100席／個室あり(2人可、4人可、6人可、8人可、10～20人可、20～30人可、30人以上可)／全面喫煙可;【新宿駅近】◆全席個室◆新宿に佇むお忍び一軒家ダイニング◆ 新宿で焼肉なら当店で◎ 贅沢を極めた厳選黒毛和牛をご堪能。本場のお客様が足しげく通う本物の味をご提供。...
近江源氏;（西武新宿 / しゃぶしゃぶ、すき焼き、郷土料理（その他））;3.23;3.23;3.00;￥6,000～￥7,999;-;100席／個室あり(2人可、4人可、6人可、8人可、10～20人可、20～30人可、30人以上可)／全面喫煙可;本場直送の最高級近江牛肉の繊細な舌触りと風味を心を込めた源氏の味でご賞味ください。
スコール 新宿店;（東新宿 / ステーキ、カフェ、ケーキ）;3.21;3.07;3.19;￥2,000～￥2,999;￥1,000～￥1,999;160席／個室あり(10～20人可、20～30人可、30人以上可)／分煙;新宿でステーキレストランとスイーツカフェが24時間楽しめます！ケーキはテイクアウトもＯＫ♪【宴会】【貸切パーティー】【女子会】【誕生日会】【同窓会】【昼宴会】に人気！
ミスタークイ;（東新宿 / 韓国料理、焼肉、韓国鍋）;3.06;3.06;-;￥2,000～￥2,999;￥1,000～￥1,999;48席／個室なし／全面喫煙可;韓国で話題沸騰の『チーズスペアリブ』専門店が日本初上陸！！ TBSの王様のブランチでも取り上げられた、絶品のチーズスペアリブをご堪能ください。
esora;（東新宿 / 鍋（その他））;3.06;3.06;-;￥5,000～￥5,999;-;30席／個室あり／全面喫煙可;おいしいカレー鍋と豊富なメニュー！！
黒鳥の湖;（西武新宿 / ダイニングバー、バー、パブ）;3.02;3.02;-;￥5,000～￥5,999;-;130席／個室なし／全面喫煙可;歌舞伎町で30年。今なお進化し続けるエンタメの原点のニューハーフショーレストランを・・・。。お得なセットコースも5500円～ご用意してます！お誕生日サプライズ満載！！
ぎょぎょぎょ;（東新宿 / 居酒屋、魚介料理・海鮮料理、鍋（その他））;-;-;-;￥4,000～￥4,999;-;40席／個室あり(4人可、6人可、8人可)／全面喫煙可;美味しい驚き！ 【ぎょぎょぎょ】のお洒落な空間でこだわり料理の数々を堪能
ゴシップ;（新宿三丁目 / バー、イタリアン、ダイニングバー）;-;-;-;￥3,000～￥3,999;-;30席／個室あり(8人可)／全面喫煙可;新宿東口徒歩5分 、誕生日会は圧倒的人気フレアショー・マジックサプライズ 夢みたいな夢じゃない空間。流行りはいつもgossipから。
つるとんたん 新宿店;（西武新宿 / うどん、懐石・会席料理、居酒屋）;3.46;3.32;3.25;￥2,000～￥2,999;￥1,000～￥1,999;110席／個室あり／分煙;“つる”と食せるおうどんは“とん”と打ち“たん”と切った関西風味のおうどん 新宿店のコンセプトは『音と食』。
先斗町 新宿本店;（東新宿 / しゃぶしゃぶ、居酒屋、水炊き）;3.14;3.14;-;￥3,000～￥3,999;-;31席／個室なし／全面喫煙可;【新宿で京都を体験！！】誰もがくつろげる庶民派京風居酒屋、カウンターとお座敷が一つになった店内の造りが居心地のいい空間を～ちゃぶ台を囲んで和気あいあい♪不思議と会...
restaurant G;（東新宿 / イタリアン、フレンチ、ビストロ）;3.00;-;3.00;￥5,000～￥5,999; ～￥999;118席／個室なし／完全禁煙;一流シェフ×一流デザイナーのコラボ。新宿の奥に潜むデザイナーズホテル内に、リーズナブルなカジュアルフレンチ＆イタリアン。好評のビュッフェ付ランチメニューも大幅に変...
