name;area_genre;rating;dinner_rating;lunch_rating;dinner_budget;lunch_budget;table;pr
カフェ・ラグーン;（面影橋 / ダイニングバー、イタリアン、バイキング）;-;-;-;￥3,000～￥3,999;￥3,000～￥3,999;50席／個室なし／全面喫煙可;貸切パーティーにおすすめ◆結婚式二次会、歓送迎会、ゼミの親睦会、ＯＢ会にどうぞ
チェイス カフェ;（西早稲田 / カフェバー、カフェ、バー）;2.98;2.98;2.99;￥1,000～￥1,999; ～￥999;40席／個室なし／分煙;西早稲田駅構内北一番出口に有名デザイナーが手掛けたキレイでスタイリッシュなカフェバーが誕生！！
えんじ;（面影橋 / 日本酒、創作和食、バル・バール）;3.08;3.08;-;￥3,000～￥3,999;-;20席／個室なし／完全禁煙;豊富な日本酒と季節の食材でおもてなし
新成都 高田馬場店;（西早稲田 / 四川料理、中華料理、ラーメン）;3.04;3.04;3.00;￥3,000～￥3,999; ～￥999;70席／個室あり(6人可)／全面喫煙可;【日替わりお得メニューあり】高田馬場にある本場四川料理・火鍋専門店です。名物の自家製巨大餃子は一度ご賞味あれ！ 「地域一」を目指しています！食べ飲み放題コースが安...
華翠苑;（面影橋 / 居酒屋、広東料理、中華料理）;3.04;3.06;3.00;￥3,000～￥3,999; ～￥999;120席／個室あり(4人可、6人可、8人可、10～20人可)／全面喫煙可;高田馬場/徒歩2分『本格香港料理10品＆3時間飲み放題付き3,980円(税込）』同窓会・忘年会・女子会★個室12名様/半個室の円卓あり★2Fは50名様/3Fは60...
串カツ田中 高田馬場店;（高田馬場 / 串揚げ・串かつ、居酒屋、たこ焼き）;3.24;3.24;3.01;￥1,000～￥1,999;-;60席／個室なし／全面喫煙可;大阪名物伝統の味！ソースの二度付け禁止！3種の新宴会コーススタート♪たこ焼き食べ放題or鍋から選べて２ｈ飲み放題付きで★2780円～3480円★で販売中！
わっしょい;（西早稲田 / 居酒屋、居酒屋・ダイニングバー（その他）、その他）;3.00;3.00;-;-;￥2,000～￥2,999;100席／個室あり(10～20人可、20～30人可、30人以上可)／全面喫煙可;コース料理もリーズナブル！一度行ったらクセになる！？高田馬場の憩いの居酒屋です。中生150円です！（ホントです♪）
麺屋 宗;（西早稲田 / ラーメン、つけ麺、台湾まぜそば）;3.52;3.51;3.52; ～￥999; ～￥999;12席／個室なし／完全禁煙;【日本一】に輝いた東京を代表する塩ラーメンの名店！！濃厚らぁめん・つけ麺なども人気！！
鉄板焼バル Kirara風月 高田馬場店;（高田馬場 / 鉄板焼き）;3.02;-;3.02;￥2,000～￥2,999; ～￥999;48席／個室なし／分煙;
次郎亭;（面影橋 / 沖縄料理、沖縄そば、居酒屋）;3.02;3.02;-;￥3,000～￥3,999;-;30席／個室なし／全面喫煙可;一度食べればやみつき！プロの味です。 学生さん/ご家族/おひとりさま どなたでもお越し下さい。 お食事・お酒を楽しみながらゆったりとした一時を。 沖縄そばも絶品です。
とうりゃんせ;（高田馬場 / お好み焼き、もんじゃ焼き、鉄板焼き）;-;-;-;￥1,000～￥1,999;-;36席／個室なし／全面喫煙可;とうりゃんせ25周年記念！お好み焼き＆もんじゃ全品500円祭り実施中！宴会コースもあります！
